card_number,card_name,visual_description
0,The Fool,"A joyful figure in an ornate floral-patterned coat with flowing lines leaps across a bright yellow sky, one arm extended upward holding a staff, the other grasping a bundle of roses. Radiant sun with spreading rays illuminates the scene. Small white dog accompanies the figure. Rocky landscape with snow-dusted mountains and distant blue horizon below. Pastel yellow background with organic Art Nouveau curves and decorative flourishes throughout the composition."
1,The Magician,"A young man with delicate features and dark hair wears a red velvet robe over white tunic, adorned with a flowing headband. He stands at an ornate altar holding an illuminated wand aloft, with an infinity symbol floating above. A goblet and pentacle rest before him on aged wood. Pale roses and climbing vines with crimson blooms frame the composition. Soft yellow background with Art Nouveau decorative botanical borders featuring intertwining leaves and flowers in muted pastels."
2,The High Priestess,"Seated figure with orange face wearing flowing light blue robes adorned with white cross patterns. Large crescent moon in yellow curves beneath hem. Ornate headdress featuring glowing white orb surrounded by yellow moons and red berries amid dark foliage with green leaves. Black pillars frame sides. Soft pastel blue background with organic Art Nouveau flourishes, decorative vines and flowing fabric lines throughout composition."
3,The Empress,"Regal woman seated on ornate throne wearing star-crowned headdress, flowing white gown adorned with pomegranates and botanical motifs, draped red velvet cloak with intricate patterns, holding scepter with crescent moon, heart-shaped shield with Venus symbol at feet, verdant forest of tall cypress trees in soft greens and blues behind, golden yellow sky, art nouveau swirling decorative borders framing the composition, pastel palette with rich jewel tones and organic flowing linework throughout."
4,The Emperor,"Bearded male figure with long flowing white beard seated on ornate throne, wearing golden crown and burgundy robes with sweeping curves. Holding sword with ornate crossguard in left hand. Flanked by decorative winged sphinxes in muted gold. Pale gray stone throne with scrolling armrests featuring organic spirals. Soft peach and cream background with subtle Art Nouveau flourishes. Pastel tones of cream, soft yellow, and dusty rose dominating composition. Roman numeral IV above. Ornamental border frame with elegant flowing patterns."
5,The Hierophant,"Regal female figure in crimson robes with golden ornamental crown, holding golden cross and staff, seated between two stone pillars with decorative capitals. Pale cream background, flowing Art Nouveau linework adorning garments and architectural elements. Two kneeling figures in yellow-trimmed robes below. Soft pastel tones with rich reds, golds, and muted grays. Organic curving patterns throughout composition, characteristic decorative borders framing the scene."
6,The Lovers,"Winged angelic figure with flowing red hair crowned in flames hovers centrally above two nude figures with graceful postures. Ornate swirling clouds frame the composition in soft whites and grays. Lush botanical elements—flowering vines and fruiting plants—border left and right in jewel tones. Radiant golden halo behind angel with radiating lines. Pastel blues, corals, and creams create ethereal atmosphere. Art Nouveau decorative flourishes throughout with organic curved lines and nature motifs."
7,The Chariot,"Crowned figure in ornate armor seated within a starlit canopy, flowing blue and gold drapery framing the composition. Two sphinxes flank below in profile, one dark and one light. Castle towers rise in soft yellow background. Decorative Art Nouveau flourishes, organic curves, pastel tones of cream, blue, and soft gold. Central figure displays regal bearing with flowing hair, intricate armor details, and ceremonial regalia. Winged emblem and shield motifs present. Ornamental border frames entire scene."
8,Strength,"Woman with curled hair adorned with delicate floral crown and infinity symbol above her head, wearing flowing white draped gown with ornamental details, gracefully stroking a large red lion with decorative mane patterns, soft pastel yellow background with rolling green landscape, Art Nouveau organic curves throughout composition, gentle earth tones with touches of coral and emerald accents"
9,The Hermit,"Tall robed figure with flowing beard holding golden staff with yellow stripe, cloaked in ornate black and cream garments with decorative linework. Glowing lantern held aloft with radiating yellow light. Snow-covered ground below, serene dusty blue background with Art Nouveau swirling patterns and organic flourishes throughout composition."
